Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;15.618.016
Total nacional;Viviendas con conexión de banda ancha;99,9
Total nacional;Conexión de banda ancha fija;86,1
Total nacional;Conexión de banda ancha móvil;83,9
Total nacional;Conexión solo a través de banda móvil;13,8
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.715.060
Andalucía;Viviendas con conexión de banda ancha;99,9
Andalucía;Conexión de banda ancha fija;83,5
Andalucía;Conexión de banda ancha móvil;83,6
Andalucía;Conexión solo a través de banda móvil;16,4
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;447.887
Aragón;Viviendas con conexión de banda ancha;99,7
Aragón;Conexión de banda ancha fija;87,8
Aragón;Conexión de banda ancha móvil;88,4
Aragón;Conexión solo a través de banda móvil;11,9
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;357.103
Asturias, Principado de;Viviendas con conexión de banda ancha;99,9
Asturias, Principado de;Conexión de banda ancha fija;80,9
Asturias, Principado de;Conexión de banda ancha móvil;88,9
Asturias, Principado de;Conexión solo a través de banda móvil;19
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;393.744
Balears, Illes;Viviendas con conexión de banda ancha;100
Balears, Illes;Conexión de banda ancha fija;91,1
Balears, Illes;Conexión de banda ancha móvil;82,4
Balears, Illes;Conexión solo a través de banda móvil;8,9
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;752.870
Canarias;Viviendas con conexión de banda ancha;99,6
Canarias;Conexión de banda ancha fija;90,3
Canarias;Conexión de banda ancha móvil;76,8
Canarias;Conexión solo a través de banda móvil;9,3
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;198.636
Cantabria;Viviendas con conexión de banda ancha;100
Cantabria;Conexión de banda ancha fija;82,8
Cantabria;Conexión de banda ancha móvil;83,7
Cantabria;Conexión solo a través de banda móvil;17,2
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;785.255
Castilla y León;Viviendas con conexión de banda ancha;100
Castilla y León;Conexión de banda ancha fija;79,7
Castilla y León;Conexión de banda ancha móvil;85
Castilla y León;Conexión solo a través de banda móvil;20,3
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;645.913
Castilla-La Mancha;Viviendas con conexión de banda ancha;100
Castilla-La Mancha;Conexión de banda ancha fija;83,8
Castilla-La Mancha;Conexión de banda ancha móvil;83,3
Castilla-La Mancha;Conexión solo a través de banda móvil;16,2
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.552.191
Cataluña;Viviendas con conexión de banda ancha;99,9
Cataluña;Conexión de banda ancha fija;89
Cataluña;Conexión de banda ancha móvil;81,4
Cataluña;Conexión solo a través de banda móvil;10,9
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.706.624
Comunitat Valenciana;Viviendas con conexión de banda ancha;99,9
Comunitat Valenciana;Conexión de banda ancha fija;86,1
Comunitat Valenciana;Conexión de banda ancha móvil;87,5
Comunitat Valenciana;Conexión solo a través de banda móvil;13,8
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;355.005
Extremadura;Viviendas con conexión de banda ancha;100
Extremadura;Conexión de banda ancha fija;78,7
Extremadura;Conexión de banda ancha móvil;83,6
Extremadura;Conexión solo a través de banda móvil;21,3
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;883.401
Galicia;Viviendas con conexión de banda ancha;99,6
Galicia;Conexión de banda ancha fija;77,5
Galicia;Conexión de banda ancha móvil;86,8
Galicia;Conexión solo a través de banda móvil;22
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.237.726
Madrid, Comunidad de;Viviendas con conexión de banda ancha;100
Madrid, Comunidad de;Conexión de banda ancha fija;90,2
Madrid, Comunidad de;Conexión de banda ancha móvil;83,4
Madrid, Comunidad de;Conexión solo a través de banda móvil;9,8
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;465.181
Murcia, Región de;Viviendas con conexión de banda ancha;100
Murcia, Región de;Conexión de banda ancha fija;88,9
Murcia, Región de;Conexión de banda ancha móvil;85,2
Murcia, Región de;Conexión solo a través de banda móvil;11,1
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;217.249
Navarra, Comunidad Foral de;Viviendas con conexión de banda ancha;100
Navarra, Comunidad Foral de;Conexión de banda ancha fija;89,1
Navarra, Comunidad Foral de;Conexión de banda ancha móvil;82,3
Navarra, Comunidad Foral de;Conexión solo a través de banda móvil;10,9
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;750.332
País Vasco;Viviendas con conexión de banda ancha;100
País Vasco;Conexión de banda ancha fija;87,8
País Vasco;Conexión de banda ancha móvil;84,9
País Vasco;Conexión solo a través de banda móvil;12,2
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;104.980
Rioja, La;Viviendas con conexión de banda ancha;100
Rioja, La;Conexión de banda ancha fija;83,3
Rioja, La;Conexión de banda ancha móvil;86,5
Rioja, La;Conexión solo a través de banda móvil;16,7
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;21.372
Ceuta;Viviendas con conexión de banda ancha;100
Ceuta;Conexión de banda ancha fija;89,7
Ceuta;Conexión de banda ancha móvil;78,5
Ceuta;Conexión solo a través de banda móvil;10,3
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;27.489
Melilla;Viviendas con conexión de banda ancha;100
Melilla;Conexión de banda ancha fija;81,5
Melilla;Conexión de banda ancha móvil;86,1
Melilla;Conexión solo a través de banda móvil;18,5
