Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2021;9,49
Total Nacional;2020;10,4
Total Nacional;2019;8,83
Total Nacional;2018;9,1
Total Nacional;2017;9,07
Total Nacional;2016;8,79
Total Nacional;2015;9,06
Total Nacional;2014;8,48
Total Nacional;2013;8,34
Total Nacional;2012;8,58
Total Nacional;2011;8,26
Total Nacional;2010;8,17
Total Nacional;2009;8,26
Total Nacional;2008;8,36
Total Nacional;2007;8,47
Total Nacional;2006;8,33
Total Nacional;2005;8,82
Total Nacional;2004;8,62
Total Nacional;2003;9,06
Total Nacional;2002;8,84
Total Nacional;2001;8,77
Total Nacional;2000;8,82
Total Nacional;1999;9,13
Total Nacional;1998;8,9
Total Nacional;1997;8,67
Total Nacional;1996;8,75
Total Nacional;1995;8,66
Total Nacional;1994;8,5
Total Nacional;1993;8,59
Total Nacional;1992;8,43
Total Nacional;1991;8,64
Total Nacional;1990;8,54
Total Nacional;1989;8,33
Total Nacional;1988;8,19
Total Nacional;1987;7,96
Total Nacional;1986;8,01
Total Nacional;1985;8,11
Total Nacional;1984;7,78
Total Nacional;1983;7,9
Total Nacional;1982;7,52
Total Nacional;1981;7,75
Total Nacional;1980;7,69
Total Nacional;1979;7,81
Total Nacional;1978;8,02
Total Nacional;1977;8,04
Total Nacional;1976;8,25
Total Nacional;1975;8,32
01 Andalucía;2021;9,33
01 Andalucía;2020;9,25
01 Andalucía;2019;8,35
01 Andalucía;2018;8,66
01 Andalucía;2017;8,48
01 Andalucía;2016;8,24
01 Andalucía;2015;8,57
01 Andalucía;2014;7,9
01 Andalucía;2013;7,83
01 Andalucía;2012;8,15
01 Andalucía;2011;7,87
01 Andalucía;2010;7,76
01 Andalucía;2009;7,85
01 Andalucía;2008;8,03
01 Andalucía;2007;8,1
01 Andalucía;2006;7,88
01 Andalucía;2005;8,45
01 Andalucía;2004;8,24
01 Andalucía;2003;8,6
01 Andalucía;2002;8,3
01 Andalucía;2001;8,17
01 Andalucía;2000;8,27
01 Andalucía;1999;8,56
01 Andalucía;1998;8,45
01 Andalucía;1997;8,07
01 Andalucía;1996;8,18
01 Andalucía;1995;8,11
01 Andalucía;1994;7,93
01 Andalucía;1993;8,08
01 Andalucía;1992;7,8
01 Andalucía;1991;8,07
01 Andalucía;1990;8,02
01 Andalucía;1989;7,88
01 Andalucía;1988;7,86
01 Andalucía;1987;7,73
01 Andalucía;1986;7,74
