Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
01 Andalucía;Ambos sexos;2021;81,49
01 Andalucía;Ambos sexos;2020;81,54
01 Andalucía;Ambos sexos;2019;82,22
01 Andalucía;Ambos sexos;2018;81,76
01 Andalucía;Ambos sexos;2017;81,83
01 Andalucía;Ambos sexos;2016;81,85
01 Andalucía;Ambos sexos;2015;81,37
01 Andalucía;Ambos sexos;2014;81,72
01 Andalucía;Ambos sexos;2013;81,49
01 Andalucía;Ambos sexos;2012;80,91
01 Andalucía;Ambos sexos;2011;80,88
01 Andalucía;Ambos sexos;2010;80,76
01 Andalucía;Ambos sexos;2009;80,3
01 Andalucía;Ambos sexos;2008;79,93
01 Andalucía;Ambos sexos;2007;79,66
01 Andalucía;Ambos sexos;2006;79,63
01 Andalucía;Ambos sexos;2005;78,92
01 Andalucía;Ambos sexos;2004;78,89
01 Andalucía;Ambos sexos;2003;78,38
01 Andalucía;Ambos sexos;2002;78,5
01 Andalucía;Ambos sexos;2001;78,46
01 Andalucía;Ambos sexos;2000;78,17
01 Andalucía;Ambos sexos;1999;77,63
01 Andalucía;Ambos sexos;1998;77,57
01 Andalucía;Ambos sexos;1997;77,67
01 Andalucía;Ambos sexos;1996;77,2
01 Andalucía;Ambos sexos;1995;77,06
01 Andalucía;Ambos sexos;1994;77,04
01 Andalucía;Ambos sexos;1993;76,62
01 Andalucía;Ambos sexos;1992;76,65
01 Andalucía;Ambos sexos;1991;76,13
01 Andalucía;Ambos sexos;1990;75,83
01 Andalucía;Ambos sexos;1989;75,84
01 Andalucía;Ambos sexos;1988;75,7
01 Andalucía;Ambos sexos;1987;75,65
01 Andalucía;Ambos sexos;1986;75,52
01 Andalucía;Ambos sexos;1985;75,36
01 Andalucía;Ambos sexos;1984;75,32
01 Andalucía;Ambos sexos;1983;75,15
01 Andalucía;Ambos sexos;1982;74,96
01 Andalucía;Ambos sexos;1981;74,52
01 Andalucía;Ambos sexos;1980;74,45
01 Andalucía;Ambos sexos;1979;74,03
01 Andalucía;Ambos sexos;1978;73,47
01 Andalucía;Ambos sexos;1977;73,51
01 Andalucía;Ambos sexos;1976;72,81
01 Andalucía;Ambos sexos;1975;72,74
01 Andalucía;Hombres;2021;78,8
01 Andalucía;Hombres;2020;78,86
01 Andalucía;Hombres;2019;79,57
01 Andalucía;Hombres;2018;79,11
01 Andalucía;Hombres;2017;79,23
01 Andalucía;Hombres;2016;79,16
01 Andalucía;Hombres;2015;78,71
01 Andalucía;Hombres;2014;79
01 Andalucía;Hombres;2013;78,76
01 Andalucía;Hombres;2012;78,07
01 Andalucía;Hombres;2011;78,08
01 Andalucía;Hombres;2010;77,81
01 Andalucía;Hombres;2009;77,32
01 Andalucía;Hombres;2008;76,93
01 Andalucía;Hombres;2007;76,61
01 Andalucía;Hombres;2006;76,53
01 Andalucía;Hombres;2005;75,71
01 Andalucía;Hombres;2004;75,65
01 Andalucía;Hombres;2003;75,13
01 Andalucía;Hombres;2002;75,21
01 Andalucía;Hombres;2001;75,2
01 Andalucía;Hombres;2000;74,92
01 Andalucía;Hombres;1999;74,24
01 Andalucía;Hombres;1998;74,16
01 Andalucía;Hombres;1997;74,36
01 Andalucía;Hombres;1996;73,67
01 Andalucía;Hombres;1995;73,49
01 Andalucía;Hombres;1994;73,55
01 Andalucía;Hombres;1993;73,16
01 Andalucía;Hombres;1992;73,1
01 Andalucía;Hombres;1991;72,57
01 Andalucía;Hombres;1990;72,38
01 Andalucía;Hombres;1989;72,41
01 Andalucía;Hombres;1988;72,46
01 Andalucía;Hombres;1987;72,41
01 Andalucía;Hombres;1986;72,25
01 Andalucía;Hombres;1985;72,04
01 Andalucía;Hombres;1984;72,03
01 Andalucía;Hombres;1983;72,12
01 Andalucía;Hombres;1982;71,83
01 Andalucía;Hombres;1981;71,33
01 Andalucía;Hombres;1980;71,47
01 Andalucía;Hombres;1979;70,89
01 Andalucía;Hombres;1978;70,31
01 Andalucía;Hombres;1977;70,37
01 Andalucía;Hombres;1976;69,81
01 Andalucía;Hombres;1975;69,72
01 Andalucía;Mujeres;2021;84,21
01 Andalucía;Mujeres;2020;84,24
01 Andalucía;Mujeres;2019;84,85
01 Andalucía;Mujeres;2018;84,4
01 Andalucía;Mujeres;2017;84,41
01 Andalucía;Mujeres;2016;84,53
01 Andalucía;Mujeres;2015;84,03
01 Andalucía;Mujeres;2014;84,4
01 Andalucía;Mujeres;2013;84,21
01 Andalucía;Mujeres;2012;83,74
01 Andalucía;Mujeres;2011;83,66
01 Andalucía;Mujeres;2010;83,69
01 Andalucía;Mujeres;2009;83,29
01 Andalucía;Mujeres;2008;82,95
01 Andalucía;Mujeres;2007;82,74
01 Andalucía;Mujeres;2006;82,74
01 Andalucía;Mujeres;2005;82,18
01 Andalucía;Mujeres;2004;82,17
01 Andalucía;Mujeres;2003;81,67
01 Andalucía;Mujeres;2002;81,82
01 Andalucía;Mujeres;2001;81,73
01 Andalucía;Mujeres;2000;81,43
01 Andalucía;Mujeres;1999;81,09
01 Andalucía;Mujeres;1998;81,03
01 Andalucía;Mujeres;1997;80,98
01 Andalucía;Mujeres;1996;80,79
01 Andalucía;Mujeres;1995;80,69
01 Andalucía;Mujeres;1994;80,55
01 Andalucía;Mujeres;1993;80,12
01 Andalucía;Mujeres;1992;80,23
01 Andalucía;Mujeres;1991;79,74
01 Andalucía;Mujeres;1990;79,31
01 Andalucía;Mujeres;1989;79,29
01 Andalucía;Mujeres;1988;78,9
01 Andalucía;Mujeres;1987;78,85
01 Andalucía;Mujeres;1986;78,74
01 Andalucía;Mujeres;1985;78,65
01 Andalucía;Mujeres;1984;78,56
01 Andalucía;Mujeres;1983;78,08
01 Andalucía;Mujeres;1982;78,02
01 Andalucía;Mujeres;1981;77,64
01 Andalucía;Mujeres;1980;77,33
01 Andalucía;Mujeres;1979;77,09
01 Andalucía;Mujeres;1978;76,56
01 Andalucía;Mujeres;1977;76,57
01 Andalucía;Mujeres;1976;75,74
01 Andalucía;Mujeres;1975;75,67
02 Aragón;Ambos sexos;2021;83,24
02 Aragón;Ambos sexos;2020;82,39
02 Aragón;Ambos sexos;2019;83,9
02 Aragón;Ambos sexos;2018;83,45
02 Aragón;Ambos sexos;2017;83,23
02 Aragón;Ambos sexos;2016;83,35
02 Aragón;Ambos sexos;2015;82,75
02 Aragón;Ambos sexos;2014;82,86
02 Aragón;Ambos sexos;2013;83,08
02 Aragón;Ambos sexos;2012;82,66
02 Aragón;Ambos sexos;2011;82,33
02 Aragón;Ambos sexos;2010;82,18
02 Aragón;Ambos sexos;2009;81,96
02 Aragón;Ambos sexos;2008;81,84
02 Aragón;Ambos sexos;2007;81,39
02 Aragón;Ambos sexos;2006;81,41
02 Aragón;Ambos sexos;2005;80,63
02 Aragón;Ambos sexos;2004;80,44
02 Aragón;Ambos sexos;2003;80,2
02 Aragón;Ambos sexos;2002;80,38
02 Aragón;Ambos sexos;2001;80,22
02 Aragón;Ambos sexos;2000;79,98
02 Aragón;Ambos sexos;1999;79,18
02 Aragón;Ambos sexos;1998;79,54
02 Aragón;Ambos sexos;1997;79,18
02 Aragón;Ambos sexos;1996;79,1
02 Aragón;Ambos sexos;1995;78,83
02 Aragón;Ambos sexos;1994;78,96
02 Aragón;Ambos sexos;1993;78,7
02 Aragón;Ambos sexos;1992;78,95
02 Aragón;Ambos sexos;1991;78,19
02 Aragón;Ambos sexos;1990;77,73
02 Aragón;Ambos sexos;1989;77,5
02 Aragón;Ambos sexos;1988;77,76
02 Aragón;Ambos sexos;1987;77,3
02 Aragón;Ambos sexos;1986;77,28
02 Aragón;Ambos sexos;1985;76,91
02 Aragón;Ambos sexos;1984;76,86
02 Aragón;Ambos sexos;1983;76,9
02 Aragón;Ambos sexos;1982;77,05
02 Aragón;Ambos sexos;1981;76,53
02 Aragón;Ambos sexos;1980;76,22
02 Aragón;Ambos sexos;1979;75,75
02 Aragón;Ambos sexos;1978;75,44
02 Aragón;Ambos sexos;1977;75,3
02 Aragón;Ambos sexos;1976;74,79
02 Aragón;Ambos sexos;1975;74,19
02 Aragón;Hombres;2021;80,55
02 Aragón;Hombres;2020;79,77
02 Aragón;Hombres;2019;81,28
02 Aragón;Hombres;2018;80,69
02 Aragón;Hombres;2017;80,43
02 Aragón;Hombres;2016;80,36
02 Aragón;Hombres;2015;79,93
02 Aragón;Hombres;2014;80,04
02 Aragón;Hombres;2013;80,17
02 Aragón;Hombres;2012;79,9
02 Aragón;Hombres;2011;79,42
02 Aragón;Hombres;2010;79,32
02 Aragón;Hombres;2009;78,98
02 Aragón;Hombres;2008;79,1
02 Aragón;Hombres;2007;78,24
02 Aragón;Hombres;2006;78,43
02 Aragón;Hombres;2005;77,66
02 Aragón;Hombres;2004;77,09
02 Aragón;Hombres;2003;77,26
02 Aragón;Hombres;2002;77,27
02 Aragón;Hombres;2001;77,11
02 Aragón;Hombres;2000;76,62
02 Aragón;Hombres;1999;75,95
02 Aragón;Hombres;1998;76,39
02 Aragón;Hombres;1997;75,86
02 Aragón;Hombres;1996;75,87
02 Aragón;Hombres;1995;75,6
02 Aragón;Hombres;1994;75,95
02 Aragón;Hombres;1993;75,31
02 Aragón;Hombres;1992;75,81
02 Aragón;Hombres;1991;75,25
02 Aragón;Hombres;1990;74,6
02 Aragón;Hombres;1989;74,4
02 Aragón;Hombres;1988;75,16
02 Aragón;Hombres;1987;74,57
02 Aragón;Hombres;1986;74,56
02 Aragón;Hombres;1985;74,1
02 Aragón;Hombres;1984;74,02
02 Aragón;Hombres;1983;74,42
02 Aragón;Hombres;1982;74,48
02 Aragón;Hombres;1981;73,74
02 Aragón;Hombres;1980;73,57
02 Aragón;Hombres;1979;73,2
02 Aragón;Hombres;1978;72,86
02 Aragón;Hombres;1977;73,03
