Clase de población;Total Nacional;Comunidades y Ciudades Autónomas;Teletrabajo;Total
Total personas (16 a 74 años);Total nacional;;Total;35.236.585
Total personas (16 a 74 años);Total nacional;;Personas que han teletrabajado;9,3
Total personas (16 a 74 años);Total nacional;;Personas que no han teletrabajado aunque su trabajo les permitiría teletrabajar;9,3
Total personas (16 a 74 años);Total nacional;;Personas que no han teletrabajado porque su trabajo no les permitiría teletrabajar;34,5
Total personas (16 a 74 años);Total nacional;;Personas que no han trabajado;46,9
Total personas (16 a 74 años);Total nacional;Andalucía;Total;6.367.970
Total personas (16 a 74 años);Total nacional;Andalucía;Personas que han teletrabajado;6,2
Total personas (16 a 74 años);Total nacional;Andalucía;Personas que no han teletrabajado aunque su trabajo les permitiría teletrabajar;8,7
Total personas (16 a 74 años);Total nacional;Andalucía;Personas que no han teletrabajado porque su trabajo no les permitiría teletrabajar;33,7
Total personas (16 a 74 años);Total nacional;Andalucía;Personas que no han trabajado;51,3
Total personas (16 a 74 años);Total nacional;Aragón;Total;958.307
Total personas (16 a 74 años);Total nacional;Aragón;Personas que han teletrabajado;7,3
Total personas (16 a 74 años);Total nacional;Aragón;Personas que no han teletrabajado aunque su trabajo les permitiría teletrabajar;10,1
Total personas (16 a 74 años);Total nacional;Aragón;Personas que no han teletrabajado porque su trabajo no les permitiría teletrabajar;41,2
Total personas (16 a 74 años);Total nacional;Aragón;Personas que no han trabajado;41,3
Total personas (16 a 74 años);Total nacional;Asturias, Principado de;Total;756.307
Total personas (16 a 74 años);Total nacional;Asturias, Principado de;Personas que han teletrabajado;5,7
Total personas (16 a 74 años);Total nacional;Asturias, Principado de;Personas que no han teletrabajado aunque su trabajo les permitiría teletrabajar;9,3
Total personas (16 a 74 años);Total nacional;Asturias, Principado de;Personas que no han teletrabajado porque su trabajo no les permitiría teletrabajar;34,8
Total personas (16 a 74 años);Total nacional;Asturias, Principado de;Personas que no han trabajado;50,2
Total personas (16 a 74 años);Total nacional;Balears, Illes;Total;933.756
Total personas (16 a 74 años);Total nacional;Balears, Illes;Personas que han teletrabajado;4,5
Total personas (16 a 74 años);Total nacional;Balears, Illes;Personas que no han teletrabajado aunque su trabajo les permitiría teletrabajar;9,8
Total personas (16 a 74 años);Total nacional;Balears, Illes;Personas que no han teletrabajado porque su trabajo no les permitiría teletrabajar;42,4
Total personas (16 a 74 años);Total nacional;Balears, Illes;Personas que no han trabajado;43,3
Total personas (16 a 74 años);Total nacional;Canarias;Total;1.761.669
Total personas (16 a 74 años);Total nacional;Canarias;Personas que han teletrabajado;7,0
