Comunidades y Ciudades Autónomas;Edad;Sexo;Periodo;Total
Total Nacional;Total;Ambos sexos;2023T2;58,97
Total Nacional;Total;Ambos sexos;2023T1;58,55
Total Nacional;Total;Ambos sexos;2022T4;58,52
Total Nacional;Total;Ambos sexos;2022T3;58,86
Total Nacional;Total;Ambos sexos;2022T2;58,71
Total Nacional;Total;Ambos sexos;2022T1;58,5
Total Nacional;Total;Ambos sexos;2021T4;58,65
Total Nacional;Total;Ambos sexos;2021T3;59,14
Total Nacional;Total;Ambos sexos;2021T2;58,58
Total Nacional;Total;Ambos sexos;2021T1;57,69
Total Nacional;Total;Ambos sexos;2020T4;58,19
Total Nacional;Total;Ambos sexos;2020T3;57,83
Total Nacional;Total;Ambos sexos;2020T2;55,54
Total Nacional;Total;Ambos sexos;2020T1;58,18
Total Nacional;Total;Ambos sexos;2019T4;58,74
Total Nacional;Total;Ambos sexos;2019T3;58,72
Total Nacional;Total;Ambos sexos;2019T2;58,74
Total Nacional;Total;Ambos sexos;2019T1;58,35
Total Nacional;Total;Ambos sexos;2018T4;58,61
Total Nacional;Total;Ambos sexos;2018T3;58,73
Total Nacional;Total;Ambos sexos;2018T2;58,8
Total Nacional;Total;Ambos sexos;2018T1;58,46
Total Nacional;Total;Ambos sexos;2017T4;58,8
Total Nacional;Total;Ambos sexos;2017T3;58,92
Total Nacional;Total;Ambos sexos;2017T2;58,84
Total Nacional;Total;Ambos sexos;2017T1;58,78
Total Nacional;Total;Ambos sexos;2016T4;58,95
Total Nacional;Total;Ambos sexos;2016T3;59,28
Total Nacional;Total;Ambos sexos;2016T2;59,41
Total Nacional;Total;Ambos sexos;2016T1;59,29
Total Nacional;Total;Ambos sexos;2015T4;59,43
Total Nacional;Total;Ambos sexos;2015T3;59,5
Total Nacional;Total;Ambos sexos;2015T2;59,79
Total Nacional;Total;Ambos sexos;2015T1;59,45
Total Nacional;Total;Ambos sexos;2014T4;59,77
Total Nacional;Total;Ambos sexos;2014T3;59,53
Total Nacional;Total;Ambos sexos;2014T2;59,63
Total Nacional;Total;Ambos sexos;2014T1;59,46
Total Nacional;Total;Ambos sexos;2013T4;59,86
Total Nacional;Total;Ambos sexos;2013T3;60,04
Total Nacional;Total;Ambos sexos;2013T2;60
Total Nacional;Total;Ambos sexos;2013T1;60,18
Total Nacional;Total;Ambos sexos;2012T4;60,23
Total Nacional;Total;Ambos sexos;2012T3;60,55
Total Nacional;Total;Ambos sexos;2012T2;60,5
Total Nacional;Total;Ambos sexos;2012T1;60,31
Total Nacional;Total;Ambos sexos;2011T4;60,29
Total Nacional;Total;Ambos sexos;2011T3;60,44
Total Nacional;Total;Ambos sexos;2011T2;60,44
Total Nacional;Total;Ambos sexos;2011T1;60,16
Total Nacional;Total;Ambos sexos;2010T4;60,25
Total Nacional;Total;Ambos sexos;2010T3;60,37
Total Nacional;Total;Ambos sexos;2010T2;60,41
Total Nacional;Total;Ambos sexos;2010T1;60,09
Total Nacional;Total;Ambos sexos;2009T4;59,99
Total Nacional;Total;Ambos sexos;2009T3;60,05
Total Nacional;Total;Ambos sexos;2009T2;60,3
Total Nacional;Total;Ambos sexos;2009T1;60,39
Total Nacional;Total;Ambos sexos;2008T4;60,35
Total Nacional;Total;Ambos sexos;2008T3;60,23
Total Nacional;Total;Ambos sexos;2008T2;60,07
Total Nacional;Total;Ambos sexos;2008T1;59,67
Total Nacional;Total;Ambos sexos;2007T4;59,47
Total Nacional;Total;Ambos sexos;2007T3;59,5
Total Nacional;Total;Ambos sexos;2007T2;59,23
Total Nacional;Total;Ambos sexos;2007T1;58,9
Total Nacional;Total;Ambos sexos;2006T4;58,88
Total Nacional;Total;Ambos sexos;2006T3;58,74
Total Nacional;Total;Ambos sexos;2006T2;58,63
Total Nacional;Total;Ambos sexos;2006T1;58,3
Total Nacional;Total;Ambos sexos;2005T4;58,08
Total Nacional;Total;Ambos sexos;2005T3;57,86
Total Nacional;Total;Ambos sexos;2005T2;57,86
Total Nacional;Total;Ambos sexos;2005T1;57,38
Total Nacional;Total;Ambos sexos;2004T4;57,12
