Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Periodo;Total
Total Nacional;;;;1/1/2020;47.450.795
Total Nacional;;;;1/1/2019;47.026.208
Total Nacional;Andalucía;;;1/1/2020;8.464.411
Total Nacional;Andalucía;;;1/1/2019;8.414.240
Total Nacional;Andalucía;Almería;;1/1/2020;727.945
Total Nacional;Andalucía;Almería;;1/1/2019;716.820
Total Nacional;Andalucía;Cádiz;;1/1/2020;1.244.049
Total Nacional;Andalucía;Cádiz;;1/1/2019;1.240.155
Total Nacional;Andalucía;Córdoba;;1/1/2020;781.451
Total Nacional;Andalucía;Córdoba;;1/1/2019;782.979
Total Nacional;Andalucía;Granada;;1/1/2020;919.168
Total Nacional;Andalucía;Granada;;1/1/2019;914.678
Total Nacional;Andalucía;Huelva;;1/1/2020;524.278
Total Nacional;Andalucía;Huelva;;1/1/2019;521.870
Total Nacional;Andalucía;Jaén;;1/1/2020;631.381
Total Nacional;Andalucía;Jaén;;1/1/2019;633.564
Total Nacional;Andalucía;Málaga;;1/1/2020;1.685.920
Total Nacional;Andalucía;Málaga;;1/1/2019;1.661.785
Total Nacional;Andalucía;Sevilla;;1/1/2020;1.950.219
Total Nacional;Andalucía;Sevilla;;1/1/2019;1.942.389
Total Nacional;Aragón;;;1/1/2020;1.329.391
Total Nacional;Aragón;;;1/1/2019;1.319.291
Total Nacional;Aragón;Huesca;;1/1/2020;222.687
Total Nacional;Aragón;Huesca;;1/1/2019;220.461
Total Nacional;Aragón;Teruel;;1/1/2020;134.176
Total Nacional;Aragón;Teruel;;1/1/2019;134.137
Total Nacional;Aragón;Zaragoza;;1/1/2020;972.528
Total Nacional;Aragón;Zaragoza;;1/1/2019;964.693
Total Nacional;Asturias, Principado de;;;1/1/2020;1.018.784
Total Nacional;Asturias, Principado de;;;1/1/2019;1.022.800
Total Nacional;Asturias, Principado de;Asturias;;1/1/2020;1.018.784
Total Nacional;Asturias, Principado de;Asturias;;1/1/2019;1.022.800
Total Nacional;Balears, Illes;;;1/1/2020;1.171.543
Total Nacional;Balears, Illes;;;1/1/2019;1.149.460
Total Nacional;Balears, Illes;Balears, Illes;;1/1/2020;1.171.543
Total Nacional;Balears, Illes;Balears, Illes;;1/1/2019;1.149.460
Total Nacional;Balears, Illes;Balears, Illes;Formentera;1/1/2020;11.904
Total Nacional;Balears, Illes;Balears, Illes;Formentera;1/1/2019;12.111
Total Nacional;Balears, Illes;Balears, Illes;Ibiza;1/1/2020;151.827
Total Nacional;Balears, Illes;Balears, Illes;Ibiza;1/1/2019;147.914
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;1/1/2020;912.171
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;1/1/2019;896.038
Total Nacional;Balears, Illes;Balears, Illes;Menorca;1/1/2020;95.641
Total Nacional;Balears, Illes;Balears, Illes;Menorca;1/1/2019;93.397
Total Nacional;Canarias;;;1/1/2020;2.175.952
Total Nacional;Canarias;;;1/1/2019;2.153.389
Total Nacional;Canarias;Palmas, Las;;1/1/2020;1.131.065
Total Nacional;Canarias;Palmas, Las;;1/1/2019;1.120.406
Total Nacional;Canarias;Palmas, Las;Fuerteventura;1/1/2020;119.732
Total Nacional;Canarias;Palmas, Las;Fuerteventura;1/1/2019;116.886
Total Nacional;Canarias;Palmas, Las;Gran Canaria;1/1/2020;855.521
Total Nacional;Canarias;Palmas, Las;Gran Canaria;1/1/2019;851.231
Total Nacional;Canarias;Palmas, Las;Lanzarote;1/1/2020;155.812
Total Nacional;Canarias;Palmas, Las;Lanzarote;1/1/2019;152.289
Total Nacional;Canarias;Santa Cruz de Tenerife;;1/1/2020;1.044.887
Total Nacional;Canarias;Santa Cruz de Tenerife;;1/1/2019;1.032.983
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;1/1/2020;21.678
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;1/1/2019;21.503
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;1/1/2020;11.147
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;1/1/2019;10.968
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;1/1/2020;83.458
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;1/1/2019;82.671
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;1/1/2020;928.604
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;1/1/2019;917.841
Total Nacional;Cantabria;;;1/1/2020;582.905
Total Nacional;Cantabria;;;1/1/2019;581.078
Total Nacional;Cantabria;Cantabria;;1/1/2020;582.905
Total Nacional;Cantabria;Cantabria;;1/1/2019;581.078
Total Nacional;Castilla y León;;;1/1/2020;2.394.918
Total Nacional;Castilla y León;;;1/1/2019;2.399.548
Total Nacional;Castilla y León;Ávila;;1/1/2020;157.664
Total Nacional;Castilla y León;Ávila;;1/1/2019;157.640
Total Nacional;Castilla y León;Burgos;;1/1/2020;357.650
Total Nacional;Castilla y León;Burgos;;1/1/2019;356.958
Total Nacional;Castilla y León;León;;1/1/2020;456.439
Total Nacional;Castilla y León;León;;1/1/2019;460.001
Total Nacional;Castilla y León;Palencia;;1/1/2020;160.321
Total Nacional;Castilla y León;Palencia;;1/1/2019;160.980
Total Nacional;Castilla y León;Salamanca;;1/1/2020;329.245
Total Nacional;Castilla y León;Salamanca;;1/1/2019;330.119
Total Nacional;Castilla y León;Segovia;;1/1/2020;153.478
Total Nacional;Castilla y León;Segovia;;1/1/2019;153.129
Total Nacional;Castilla y León;Soria;;1/1/2020;88.884
Total Nacional;Castilla y León;Soria;;1/1/2019;88.636
Total Nacional;Castilla y León;Valladolid;;1/1/2020;520.649
Total Nacional;Castilla y León;Valladolid;;1/1/2019;519.546
Total Nacional;Castilla y León;Zamora;;1/1/2020;170.588
Total Nacional;Castilla y León;Zamora;;1/1/2019;172.539
Total Nacional;Castilla - La Mancha;;;1/1/2020;2.045.221
Total Nacional;Castilla - La Mancha;;;1/1/2019;2.032.863
Total Nacional;Castilla - La Mancha;Albacete;;1/1/2020;388.270
Total Nacional;Castilla - La Mancha;Albacete;;1/1/2019;388.167
Total Nacional;Castilla - La Mancha;Ciudad Real;;1/1/2020;495.045
Total Nacional;Castilla - La Mancha;Ciudad Real;;1/1/2019;495.761
Total Nacional;Castilla - La Mancha;Cuenca;;1/1/2020;196.139
Total Nacional;Castilla - La Mancha;Cuenca;;1/1/2019;196.329
Total Nacional;Castilla - La Mancha;Guadalajara;;1/1/2020;261.995
Total Nacional;Castilla - La Mancha;Guadalajara;;1/1/2019;257.762
Total Nacional;Castilla - La Mancha;Toledo;;1/1/2020;703.772
Total Nacional;Castilla - La Mancha;Toledo;;1/1/2019;694.844
Total Nacional;Cataluña;;;1/1/2020;7.780.479
Total Nacional;Cataluña;;;1/1/2019;7.675.217
Total Nacional;Cataluña;Barcelona;;1/1/2020;5.743.402
Total Nacional;Cataluña;Barcelona;;1/1/2019;5.664.579
Total Nacional;Cataluña;Girona;;1/1/2020;781.788
Total Nacional;Cataluña;Girona;;1/1/2019;771.044
Total Nacional;Cataluña;Lleida;;1/1/2020;438.517
Total Nacional;Cataluña;Lleida;;1/1/2019;434.930
Total Nacional;Cataluña;Tarragona;;1/1/2020;816.772
Total Nacional;Cataluña;Tarragona;;1/1/2019;804.664
Total Nacional;Comunitat Valenciana;;;1/1/2020;5.057.353
Total Nacional;Comunitat Valenciana;;;1/1/2019;5.003.769
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;1/1/2020;1.879.888
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;1/1/2019;1.858.683
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;1/1/2020;585.590
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;1/1/2019;579.962
Total Nacional;Comunitat Valenciana;Valencia/València;;1/1/2020;2.591.875
Total Nacional;Comunitat Valenciana;Valencia/València;;1/1/2019;2.565.124
