Entidad;Sala;Dirección ;CP;Provincia;Municipio;Responsables ;Teléfono/s ;FAX;email;Dirección WEB;Coordenadas
AYUNTAMIENTO DE AVILA;PALACIO DE CONGRESOS Y EXPOSICIONES LIENZO NORTE;Pza. del Mercado chico, 1;05001;Avila;Avila;Anunciación Pérez / Carmen Jiménez;920-354015;920-225697;"aperezg@ayuntavila.com; mcjimenez@ayuntavila.com";;40.6603995, -4.706222599999999
AYUNTAMIENTO DE AVILA;AUDITORIO SAN FRANCISCO;Pza. del Mercado chico, 1;05001;Avila;Avila;Anunciación Pérez / Carmen Jiménez;920-354015;920-225697;"aperezg@ayuntavila.com; mcjimenez@ayuntavila.com";;40.6600661, -4.6924474
AYUNTAMIENTO DE BURGOS;TEATRO PRINCIPAL DE BURGOS;Paseo del Espolón, s/n.;09003;Burgos;Burgos;Ignacio J. de Miguel Gallo;947-288840;;imc@aytoburgos.es;;42.3406399, -3.6999119
AYUNTAMIENTO DE ARANDA DE DUERO;AUDITORIO DE LA CASA DE CULTURA;Pza. del Trigo, 9;09400;Burgos;Aranda de Duero;Julia Miranda Benito;947-511275;947-511513;cultura@arandadeduero.es;;41.6712181, -3.687718899999999
AYUNTAMIENTO DE ARANDA DE DUERO;CAJA DE BURGOS;Pza. del Trigo, 9;09400;Burgos;Aranda de Duero;Julia Miranda Benito;947-511275;947-511513;cultura@arandadeduero.es;;41.6601959, -3.693276
AYUNTAMIENTO DE MIRANDA DE EBRO;TEATRO APOLO;Pza. de España, 8;09200;Burgos;Miranda de Ebro;Fernando Cardero;947-349138 / 947-349100;947-349152;fcardero@mirandadeebro.es;;42.6837893, -2.9531086
AYUNTAMIENTO DE MIRANDA DE EBRO;CASA MUNICIPAL DE CULTURA;Pza. de España, 8;09200;Burgos;Miranda de Ebro;Fernando Cardero;947-349138 / 947-349100;947-349152;fcardero@mirandadeebro.es;;42.6819345, -2.9439634
AYUNTAMIENTO DE ROA DE DUERO;AUDITORIO CENTRO CÍVICO;Pza. Mayor de Santa María 24,;09300;Burgos;Roa de Duero;Patricia Portillo;947 54 01 61;947 54 1806;cultura@roadeduero.es;;41.695246, -3.930036
AYUNTAMIENTO DE BURGOS;TEATRO CLUNIA;Paseo del Espolón, s/n.;09003;Burgos;Burgos;Ignacio J. de Miguel Gallo;947-288840;;imc@aytoburgos.es;;42.3403123, -3.7089036
AYUNTAMIENTO DE LEON;AUDITORIO CIUDAD DE LEÓN;Avda. Ordoño II, nº 10;24001;León;León;Senador González Puente;987-878337;987-878345;senador.gonzalez@aytoleon.es;;42.602434, -5.5793251
AYUNTAMIENTO DE LA BAÑEZA;TEATRO MUNICIPAL DE LA BAÑEZA;Plaza Mayor,1;24750;León;La Bañeza;José Luís. Concejal de Cultura;987 641268;987642056;jdelriego@aytobaneza.es;;42.2999398, -5.897157
AYUNTAMIENTO DE ASTORGA;TEATRO GULLÓN;Pza. Mayor, s/n.;24700;León;Astorga;Manuel González Villalibre / Antonio Morales;987616838;;cultura@astorga.es;;42.455167032056885, -6.052110564691291
AYUNTAMIENTO DE PONFERRADA;TEATRO BERGIDUM;C/ Ancha, nº 15;24400;León;Ponferrada;Miguel Angel Varela Gorgojo;987-429774;987-456524;teatro@ponferrada.org;;42.5465503, -6.589185199999999
AYUNTAMIENTO DE PALENCIA;TEATRO PRINCIPAL;Pza. Mayor, 1.;34001;Palencia;Palencia;Pilar Alcalde;979-718100 / 979-718179;979-718138;palcalde@aytopalencia.es;;42.009776, -4.5307714
AYUNTAMIENTO DE CARRIÓN DE LOS CONDES;TEATRO SARABIA;Pza. Mayor, 1;34120;Palencia;Carrión de los Condes;Dolores Calleja;979-880932;979-880631;cultura@carriondeloscondes.es;;42.337559, -4.603637
