Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;;;Provincia;Total;2019;69.547
TOTAL ESPAÑA;;;Provincia;Total;2018;69.832
TOTAL ESPAÑA;;;Provincia;Total;2017;70.068
TOTAL ESPAÑA;;;Provincia;Total;2016;70.084
TOTAL ESPAÑA;;;Provincia;Total;2015;70.363
TOTAL ESPAÑA;;;Provincia;Total;2014;70.541
TOTAL ESPAÑA;;;Provincia;Total;2013;70.670
TOTAL ESPAÑA;;;Provincia;Total;2012;70.713
TOTAL ESPAÑA;;;Provincia;Total;2011;70.418
TOTAL ESPAÑA;;;Provincia;Total;2010;70.646
TOTAL ESPAÑA;;;Provincia;Total;2009;70.597
TOTAL ESPAÑA;;;Provincia;Total;2008;70.332
TOTAL ESPAÑA;;;Provincia;Total;2007;70.276
TOTAL ESPAÑA;;;Provincia;Total;2006;69.862
TOTAL ESPAÑA;;;Provincia;Total;2005;69.884
TOTAL ESPAÑA;;;Provincia;Total;2004;69.712
TOTAL ESPAÑA;;;Provincia;Total;2003;69.566
TOTAL ESPAÑA;;;Provincia;Total;2002;69.681
TOTAL ESPAÑA;;;Provincia;Total;2001;69.889
TOTAL ESPAÑA;;;Provincia;Total;2000;69.769
TOTAL ESPAÑA;;;Provincia;Total;1999;69.935
TOTAL ESPAÑA;;;Provincia;Total;1998;70.373
TOTAL ESPAÑA;;;Provincia;Total;1997;70.561
TOTAL ESPAÑA;;;Provincia;Total;1996;71.081
TOTAL ESPAÑA;;;Provincia;Total;1995;71.265
TOTAL ESPAÑA;;;Provincia;Total;1994;72.072
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2019;61.390
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2018;61.552
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2017;61.384
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2016;61.250
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2015;60.935
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2014;60.092
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2013;59.459
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2012;59.243
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2011;58.372
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2010;58.378
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2009;58.200
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2008;57.672
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2007;57.549
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2006;56.880
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2005;56.336
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2004;55.733
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2003;55.309
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2002;54.996
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2001;54.725
TOTAL ESPAÑA;;;Provincia;Con taxímetro;2000;54.401
TOTAL ESPAÑA;;;Provincia;Con taxímetro;1999;54.774
TOTAL ESPAÑA;;;Provincia;Con taxímetro;1998;54.821
TOTAL ESPAÑA;;;Provincia;Con taxímetro;1997;54.465
TOTAL ESPAÑA;;;Provincia;Con taxímetro;1996;54.026
TOTAL ESPAÑA;;;Provincia;Con taxímetro;1995;53.520
TOTAL ESPAÑA;;;Provincia;Con taxímetro;1994;53.431
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2019;8.157
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2018;8.280
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2017;8.684
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2016;8.834
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2015;9.428
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2014;10.449
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2013;11.211
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2012;11.470
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2011;12.046
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2010;12.268
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2009;12.397
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2008;12.660
TOTAL ESPAÑA;;;Provincia;Sin taxímetro;2007;12.727
